S,R,O
earth,at location,space
bear,at location,wood
baseball,has prequisite,ball
fruit,created by,plant
heart,part of,circulatory system
tel aviv,part of,israel
human,capable of,have sex
goose,capable of,fly
punch bag,receives action,punch
fork,made of,metal
pillow,made of,feather
police officer,at location,city
cookie,at location,dessert
category theory,is a,math
alcohol,causes desire,dance
snake,at location,earth
dog,desires,eat
poop,has property,smelly
hat,used for,shade
computer,is a,tool
monitor,at location,casino
cell phone,at location,store
cell phone,at location,desk
fork,at location,build
fork,at location,house
water,at location,apple
dog,at location,australia
floor,at location,australia
stapler,at location,build
stapler,at location,university
cup,at location,live room
cat,desires,eat mouse
dust,at location,cupboard
television view,is a,activity
person,capable of,juggle
hat,at location,house
friend,is a,human
friend,capable of,hurt
cup,at location,house
cup,at location,store
coconut,is a,object
frog,made of,meat
oatmeal,at location,store
energy,is a,issue
rest,motivated by goal,energy
action,has prequisite,energy
energy,at location,coal
slide,is a,playground equipment
swingset,is a,playground equipment
sock,is a,clothe
crew sock,is a,sock
switchblade,is a,knife
eat pussy,used for,fun
eat pussy,used for,enjoyment
be attack,has subevent,duck
conecept design,used for,entertainment industry to create new individual idea for movie and game
book,at location,build
bird,has prequisite,food
freedom,has prequisite,liberty
math,used for,play with
caerphilly,is a,cheese
stilton,is a,cheese
psychology,is a,science
tie-dye,created by,color
opera,is a,sing
sing,has prequisite,good ear
oxygen,part of,water
human,has prequisite,oxygen
oxygen,used for,oxidation
oxygen,part of,carbon dioxide
mit,has prequisite,professor
mit,part of,massachusetts
plan,used for,achieve goal
plan,causes,you know how to reach your goal
chair,at location,store
power plant,has prequisite,conservation of energy
azure,is a,blue
coffee,has prequisite,something to brew it in
pay phone,is a,telephone
typography,used for,book
eat pussy,used for,orgasm creation
eat pussy,motivated by goal,sex
tongue,used for,eat pussy
eat pussy,has prequisite,patience
bridge,made of,wood
brain,symbol of,knowledge
take shower,has first subevent,turn on water
telephone,at location,in car
cut board,at location,in kitchen
go to library,motivated by goal,read book
couch,at location,in live room
ramen,made of,flour
anniversary,has subevent,give gift
write progam,has subevent,code
comet,at location,in our solar system
date,part of,calendar
scissor,used for,cut something
be,at location,beehive
stone,at location,mountain
pancake,made of,flour
door,made of,wood
dog,instance of,pet
right whale,is a,whale
sei whale,is a,whale
bichon frise,is a,dog
dalmatian,is a,dog
city,is a,municipality
schipperke,is a,dog
biplane,is a,airplane
keeshond,is a,dog
baleen whale,is a,whale
bowhead whale,is a,whale
humpback whale,is a,whale
bird,at location,in nest
broom,at location,in closet
drink too much,causes,feel sick
mormon,is a,christianity
drizzle,is a,rain
white rice,is a,rice
house mouse,is a,mouse
orange juice,is a,juice
palm tree,is a,tree
tropical fish,is a,fish
cappuccino,is a,coffee
grape juice,is a,juice
hindi,is a,language
plant,is a,live thing
harpsichord,is a,keyboard instrument
child,at location,playground
puppy,defined as,baby of dog
go to swim pool,motivated by goal,swim
swim,causes,healthy body
door,at location,your house
owl,part of,animal kingdom
toothbrush,used for,brush one tooth
muffin,made of,flour
dumpling,made of,flour
space shuttle,made of,ceramic
cartoon,related to,animation
earthquake,causes,it bring destruction to house
sun,at location,in sky
shampoo,at location,in bathroom
parent,capable of,spank his her child
person,capable of,smell
human be,capable of,run
exercise,causes,fatigue
bird,capable of,lie egg
man,desire of,woman
woman,capable of,get pregnant
tooth,used for,chew
robot,is a,mechanical device
prototheria,is a,mammal
hut,is a,build
train,at location,track
trade card,is a,card
action movie,is a,movie
lemon,is a,citrus fruit
titan,is a,moon
science fiction movie,is a,movie
collect,is a,hobby
avocado,is a,fruit
apple tree,is a,tree
cherry tree,is a,tree
neuron,is a,cell
electron,is a,particle
brother,is a,sibling
brontosaurus,is a,dinosaur
b,is a,letter
vinegar,made of,wine
person,at location,in desert
animation,is a,hobby
pen,at location,in office
cthulhu,has property,powerful
bath,at location,in house
hand,used for,slap somebody
c++,related to,object orient program
c++,related to,memory management
head,is a,body part
arm,is a,body part
coin,is a,money
idea,is a,think
apple juice,is a,juice
soldier,capable of,keep peace
work,motivated by goal,earn some money
thief,is a,criminal
pill,is a,drug
cottage cheese,is a,cheese
murderer,is a,criminal
white bread,is a,bread
even,is a,time
contrabass,is a,string
think,causes,think
horse,at location,in texas
nylon,is a,plastic
animal,not desires,death
flour,made of,wheat
key,at location,keyboard
shoe,made of,leather
epee,is a,sword
tetri,is a,computer game
stiletto,is a,dagger
elm,is a,tree
dollar,is a,currency
aluminium,is a,metal
carrot,is a,domesticate plant
sword,symbol of,honour
revolver,is a,firearm
sword,symbol of,violence
sport car,is a,car
pecan,is a,nut
coupe,is a,car
brain,capable of,think
bowl,used for,put soup in
fight,has subevent,throw punch
player,at location,stadium
liver,at location,person
car,at location,bottom of lake
coffee cup,at location,diswasher
gardener,at location,garden
car,at location,junkyard
insect,at location,garden
rag,used for,clean
shoe,receives action,wear to protect foot from injury
moon,is a,in orbit arount earth
old glass have often,receives action,bury
this,is a,like money
bird egg,has property,fragile
physical object,receives action,touch
library,is a,place you can find book
zeus,defined as,ruler of greek pantheon
baby be cute which make person,desires,be near them
golden gate bridge,not has property,yellow or make of gold
park car,not capable of,move
rotary telephone be,receives action,replace by touchtone phone
food,has property,yummy
tv,has property,first make in black and white
high school,has a,drama department
child,capable of,object
child,capable of,water plant
woman,capable of,make wine
child,capable of,hear
child,at location,bed
child,capable of,use
child,capable of,suck
tool,capable of,protect person head
this,is a,black plastic comb
this,is a,slice of swiss cheese
this,is a,chinese fortune cookie
someone,capable of,polka
oxygen tent,at location,hospital
something,at location,finish line
small dog,at location,grandma house
park car,at location,airport
story,has a,sentence
knick-knack,at location,shelf
bone,is a,euphemism for sex
see artifact,has subevent,observe detail
mug,used for,drink
pathway,capable of,guide walker
tampon,at location,purse
agree with someone,has subevent,thermonuclear war
use computer,motivated by goal,surf internet
something,at location,freefall
kill,has prequisite,get weapon and find somebody
me,at location,hockey game
crab,at location,tank
detritus,at location,forest
win baseball game,motivated by goal,you score more homeruns
cop,at location,roadblock
small dog,at location,owner lap
entertain person,has subevent,they laugh
person,not desires,make same mistake twice
sloth,at location,work
act in play,has prequisite,read script
paint,receives action,use on canvas
pen,used for,write thing down
grass,is a,arounds house
german shepard puppy,has property,very cute
be not,has property,short for be not
doe not,has property,short for doe not
four main direction,is a,north south east and west
drive,has subevent,insult others driver
page,receives action,find in book
saphire,is a,stone
bracelet,receives action,wear around wrist
hair,has a,root
heroin,has property,addictive
toilet,receives action,find in house
some house,has property,very large
jelly,receives action,make from fruit
granite,is a,stone
duck,receives action,roast
pig,receives action,eat
feather,receives action,find on goose
interest,has property,charge on loan
spider web,has property,strong as steel
chair,receives action,find in office
house,has a,wire
dead dog,not capable of,bark
great wall of china,receives action,see from space
wine,receives action,create from ferment grape
lamp,receives action,find in house
egg,used for,create paint
letter,receives action,find in word
oil,receives action,find in car
some wine,has property,white
ruby,is a,stone
sink,receives action,find in house
dead person,not capable of,breathe
watch,has property,solid
stone,receives action,carve
water,receives action,find in lake
glass,receives action,find in kitchen
tree,has a,root
house,has a,floor
desk,receives action,find in school
ranch house,used for,person to live in
bed,receives action,find in hotel
stone,receives action,crush
wall,receives action,find in house
wood,receives action,polish
oven,receives action,find in kitchen
word,receives action,find on page
tungsten,receives action,find in light-bulbs
bidet,is a,machine
e-mail,is a,example of asynchronous communication
sauda,is a,in norway
double edge razor,has a,two sharp side
norman,is a,graduate student
salesman,capable of,trade car
chef,capable of,bone fish
you,not capable of,teach pig to sing
collector,capable of,trade baseball card
carpet,used for,cover ugly floor
punch someone,has prequisite,draw back your fist
read newspaper,causes,awareness of current event
cow,at location,county fair
jesus,capable of,shoulder cross
person,not desires,split her pant
you,not capable of,housebreak horse
play guitar,has prequisite,learn chord
someone,at location,unemployment office
something,at location,road
see excite story,causes,excitement
sleigh ride,has subevent,sing carol
cook curry,motivated by goal,eat indian food
impanel jury,has subevent,get in trouble
privacy mean peep tom can,not capable of,watch you
smoke,capable of,cake chimney
every part,is a,whole
tree,capable of,shade car
have bath,causes,orgasm
massachuset,is a,state
drill hole,has subevent,orgasm
tennesee,is a,state
it place to,has a,sex
pizzeria,is a,restarant
sailboat,is a,vehicle
snow,used for,shovel
tell many person about something,used for,gossip
relativity,is a,college level subject
c,is a,example of program language
be,is a,passive verb
person,is a,synonym for person
lie,is a,unhelpful information
something,at location,person
tortilla,defined as,substrate for taco
continent,is a,big than country
health,receives action,acquire by avoid bad food
lie,is a,inaccurate information
plumb,is a,system
boater,at location,boat
staple remover,receives action,make from plastic and metal
ping-pong,is a,very popular game in europe
all real thing,is a,construction
st john,is a,in canada
unicycle,has a,one wheel
glass case,used for,store glass
some person,has a,dog for pet
cord,used for,plug something in
zipper,used for,fasten pant
address label,used for,mail letter
set cup on table,used for,free your hand
something,at location,campground
contemplate,used for,come up with new idea
walk in rain,has prequisite,go outside
some person,not capable of,drink coffee
person,capable of,eat spaghetti
play lacrosse,has subevent,sweat
computer,not capable of,eat banana
collard green,is a,vegetable
worker,capable of,stock shelve
apple,has a,peel
tissue,used for,wipe your nose
ride horse,has prequisite,sit on it back
something,at location,another thing
god may or may,not capable of,exist
get up early,motivated by goal,you dont want to be late
large ocean in world,defined as,pacific
silence,causes desire,listen to radio
stand in queue,has subevent,get sore foot
wake up in morning,has subevent,see sun rise
read newspaper,has last subevent,fold it up
blowfish,at location,fish market
division,is a,operation
jelly,is a,spread
project,is a,task
graph,is a,diagram
television,is a,machine
ice,is a,material
spiral,is a,curve
wok,is a,cook pot
ray,is a,flat fish
tanker,is a,truck
stop sign,has a,eight side
german shepherd dog,has a,89 congenital defect
ring,is a,piece of jewelry
igloo,is a,house
dress,is a,form of clothe
meteor,is a,meteoroid
tag,is a,label
grin,is a,smile
tetrahedron,is a,pyramid
baseball mitt,is a,glove
one,capable of,ride scooter for pleasure
gazelle,at location,steppe
scamper,has property,dead
jolly,capable of,show old chap
sharp trader,capable of,corner market
steel,receives action,make from iron ore
recitation,has property,small
line,at location,bus stop
break,capable of,slow car
person who be kind,is a,good person
fight war,has subevent,you will die
police,desires,know when crime be commit
angle grinder,not capable of,grind angle
artifact be something which,created by,person
make expensive mistake,causes desire,learn about subject
car,not capable of,float
motorcycle,is a,fatsret than scooter
use television,motivated by goal,you like opium
box,at location,cellar
rose,has property,cultivate in yard
person spirit,capable of,bottom out
sand dollar,at location,beach
composition of earth,is a,17 percent magnesium
pamphlet,at location,library
car,at location,show
track,at location,subway
chip,at location,casino
gum,at location,movie
set cup on table,has prequisite,have cup in your hand
pencil sharpener,at location,desk drawer
couch,at location,door
paper,at location,refrigerator
reach tentative agreement,has prequisite,comprimise
coin,at location,desk
neckwear,at location,closet
nova,at location,space
see artifact,has prequisite,go to musuem
post it note,at location,desk
haircloth,at location,bathroom
paint house,has prequisite,buy paint
magazine,at location,mail
bathtub,at location,motel
saskinbakkal,part of,istanbul
spirit,used for,haunt
vanderbilt,is a,university
fast food restaurant,used for,buy food
pirate,capable of,sail ship
calender,at location,desk
bungalow,used for,live
beanie baby,used for,toss
take break,has subevent,you drink coke
foot,used for,kick ball
comfort friend,causes,bond
follow recipe,has prequisite,learn to read
knit,has subevent,you use yarn
key,at location,shelf
can of paint,used for,paint
shadow,at location,suface of moon
floor,at location,store
climb mountain,used for,physical challenge
bus stop,used for,pick up passenger
occasional odd sock,at location,sock drawer
flower pot,at location,porch
secretary,used for,answer phone
brick row house,used for,live
procreate,has prequisite,have child
drive,motivated by goal,get someplace
wardrobe,used for,hang clothe
cash token,used for,pay
cold drink,at location,beach
see exhibit,causes,understand
go outside for even,has prequisite,use bug repellent
beer,at location,shelf
open bag of chip,has subevent,it tear
play frisbee,has subevent,you miss
read book,has prequisite,get comfortable
tape television show,has subevent,you get bore
sunshine,at location,beach
strange,used for,act as witness
teddy bear,at location,shelf
calculate thing quickly,used for,accountant
tape television show,has prequisite,vcr and tape
buy something,causes,ownership
sea weed,at location,bottom of sea
analyse something,used for,get detail
pair of slipper,at location,your bed
get drunk,has prequisite,drink rum and sing pirate song
gazelle,at location,ivory coast
work,has subevent,you pay attention
buy present for others,has prequisite,like them
someone,at location,compost pile add grass clipping
read magazine,has subevent,you get idea
stay healthy,causes,energy
take walk,has prequisite,bring dog
type,has prequisite,use finger
farmland,used for,grow corn
kosher delicatessen,used for,eat
bee,at location,pumpkin patch
ticket slot,used for,collect ticket
get contract,causes,more work
set cup on table,used for,convenience
belt,at location,closet
foundation,at location,closet
play soccer,motivated by goal,kick ball
sheet of paper,used for,add number
make bread,motivated by goal,it fresh
eat ice cream,has subevent,you have fun
drink alcohol,has subevent,you run out of booze
play soccer,causes,anger
monkey,at location,movie
grandma,at location,relative house
advance into battle,used for,fight war
pig,at location,fairground
use calculator,causes,number be manipulate
machine gun,used for,shoot lot of bullet
american flag,at location,suface of moon
get something,used for,satisfy need
rock,at location,field
garden hose,used for,water flower
ranch house,used for,sleep
walk in rain,has subevent,you step in puddle
apple,used for,make pie
eat breakfast,has prequisite,eat in morning
write letter,has subevent,your pen run out of ink
improve your image,motivated by goal,you think you be ugly
someone,capable of,go for drive
someone,at location,prague
swim pool,used for,have pool party
launch platform,used for,launch probe
no tobacco advertisement broadcast,at location,radio
hypocrisy,at location,church
puddy tat,not capable of,fly
earn live,has prequisite,know how to do something useful
eat dinner,has prequisite,set table
someone,at location,bicycle repair shop
lover,at location,park
igneous rock,at location,moon
something,at location,gate
eight hour of sleep,capable of,make person feel rest
surprise someone,has prequisite,say boo
nonsense,at location,church
someone,at location,credit union
piano,is a,heavy musical instrument
cultural change,capable of,happen
sustainable growth,is a,oxymoron
see exhibit,has prequisite,go to musuem
car key,at location,table
explosive,used for,make art
horse,at location,oklahoma
business card,at location,desk
play chess,has subevent,move king
someone,at location,university campus
someone,at location,political rally
shallow water,used for,fish
nylon,is a,man make fiber
child,is a,immature human
religious fanatic,at location,front door
river,capable of,run through valley
someone,at location,smithsonian
mind control,at location,church
rational think,at location,university
human,is a,ape
hot air balloon,at location,sky
sail ship,at location,sea
energy,defined as,ability to do work
shark,at location,indian ocean
chess set,at location,home
play chess,has subevent,move rook
horse,at location,mongolia
light match,causes,exothermic reaction
intelligent design,is a,dressed-up version of creationism
communication with unsupporting spouse,has property,frustrate
bicycle storage area,used for,bicycle storage
make friend,causes,make even more friend
front yard,used for,grow garden
ethanol,is a,energy negative
person,capable of,stand up for themselves
someone,at location,gun show
sand,at location,hourglass
footprint,at location,beach
something,at location,university campus
true believer,at location,church
something,at location,open pit mine
chair,at location,office build
unite state of america,at location,war
someone,at location,toll booth
potato,at location,sack of potato
many type,at location,salt
human body,has a,many muscle
human body,has a,skeleton
fire,capable of,emit light
human,has a,biological body
human,capable of,act in response to their emotion
human body,has a,many organ
celebrate,has subevent,have many beer
parlor,used for,play game
hand luggage,used for,carry stuff
wait on line,has subevent,go to bathroom
someone,at location,nascar race
someone,at location,wail wall
person,desires,medium rare steak
third month,is a,autumn
something,at location,dance
one surgical procedure for removal,is a,pneumonectomy
you,capable of,bank on that
paint picture,has subevent,clean brush
look good,has prequisite,put on makeup
buy house,has subevent,test plumb
take course,has subevent,buy book
express how funny something be,causes,contagious laughter
one impairment person might,has a,be down syndrome
one impairment person might,has a,be panic attack
finger,used for,create shadow
bean,used for,make furniture
buy beer,causes,break law
buy house,has subevent,examine light
ham,at location,refrigerator
play basketball,has prequisite,grow tall
book,used for,learn about language
something,at location,banner
swim,causes,water in ear
ring bearer,capable of,hold ring
buy something,has subevent,get authentication
something,at location,deli case
something,at location,beach towel
something,at location,page
basket,used for,hold flower
answer question,used for,satisfy questioner
something,at location,rack
basket with handle,used for,carry clean clothe
write,has subevent,add to appendix
use computer,has subevent,make draw
pioneer,capable of,circle wagon
tooth,used for,eat
something,at location,surface of lake
paint,causes,spatter
look good,has prequisite,wash
bean,used for,make bean bag
finger,used for,pop balloon
cook,capable of,bone roast
tub,used for,hold butter
skin,used for,hold in blood
travel,has subevent,read map
weed garden,has prequisite,distinguish weed
trunk,at location,garage
go to mall,has subevent,compare price
get good grade,has prequisite,score high
gate,used for,control access
chef special,is a,not always on menu
confetti,used for,enhance celebration
go on vacation,has subevent,buy film
book end,capable of,come in pair
friend,has property,thick and thin
express information,has subevent,use hand gesture
steel cable,is a,cable
shark,at location,warm salt water
sun,is a,g-class star
locksmith,capable of,fix break lock
very few clear and simple fact,at location,world
eat breakfast,has subevent,have cup of coffee
one instance of vessel,is a,ship
play,has subevent,learn
examine thing,has prequisite,look closely at it
thing,is a,something
person,not desires,lose child
trash receptacle,used for,waste product
write story,has prequisite,write about what you know
some person,has property,incline
stand up,has subevent,flex your leg muscle
write,has subevent,use pencil
see exhibit,has subevent,visit museum
see particular program,causes,be entertain
weed garden,has subevent,get your hand dirty
surf net,causes,find information
take bus,has subevent,buy bus pass
go to market,has subevent,drive car
sit on chair,causes,rest
write story,causes,entertain others
play tennis,causes,become tire
compete against someone,causes,win
go somewhere,has subevent,you might drive car
wait on line,causes,get to front
improve yourself,causes,be good person
see story,has subevent,you might be entertain
go off strike,motivated by goal,get back to work
propose to woman,has subevent,put ring on her finger
go to sleep,has prequisite,go to bed
fence,has subevent,thrust
set cup on table,has subevent,put coaster under cup
christmas shop,motivated by goal,buy gift
have bath,has subevent,you might get clean
wake up in morning,causes,begin your day
visit other country,causes,get your passport stamp
make person laugh,causes,entertain others
fly in airplane,motivated by goal,travel
climb,causes,get to top
propose to woman,has last subevent,put ring on her finger
conquer your opponent,has subevent,defeat him
attend classical concert,has subevent,buy ticket
visit art gallery,has subevent,you might see famous paint
pass class,has subevent,take exam
create something to help other person,causes,make money
judge someone,has subevent,sit on jury
advance into battle,has subevent,attack your enemy
run after ball,has subevent,get hit by car
go to sleep,causes,get rest
skate,used for,social interaction
eat quickly,causes,get sick
calculate thing quickly,causes,make error
desire for social interaction,causes desire,chat with friend
turnstile,used for,count number of visitor
kill someone,has subevent,commit crime
clean,causes,neatness
earn live,causes,get paycheck
desire to be marry,causes desire,propose to woman
safety pin,is a,useful fastener
smoke,motivated by goal,kill yourself
go to pub,has subevent,buy beer
work box office,motivated by goal,earn money
climb mountain,causes,get to top
run errand,has prequisite,make to do list
mastercard,has property,one of many credit card
stop your car,causes,step on brake
move car,causes,drive
visit museum,has prequisite,look at exhibit
watch musician perform,has prequisite,buy ticket to performance
person who scuba dive,at location,water
comprehensive test ban treaty,has property,abbreviate to ctbt
highway,is a,australian freeway
socially responsible investment,has property,abbreviate to sri
gross domestic product,has property,abbreviate to'gdp
wolf,at location,forest
lane,at location,street
trash,at location,container
copulate,causes,woman have baby
be involve in accident,has subevent,get angry
person,desires,imac
hair clog,at location,drain
highway,at location,unite state
human,not capable of,eat in water
someone,at location,bob hallmark
bill montana,has a,tornado siren
old person,capable of,not shovel snow
mall,has property,crowd
cogitate,causes,headache
robin egg,is a,sky blue
brass instrument,used for,march band
nickel,is a,u.s
basketball,used for,play game
seat,at location,on subway
car,at location,at drive-in movie
wait on table,motivated by goal,need money
cup,is a,container
person,not desires,fight
pad,at location,under carpet
kitten,is a,young cat
violin,used for,make music
pencil,at location,in class
take stand,has prequisite,take oath
barbell,at location,at gym
carpet,at location,inside
someone,capable of,sleep
person,not desires,feel bad
road,used for,travel
set alarm clock,motivated by goal,wake up in morning
person,not desires,be hungry
rock,at location,on grind
jacket,is a,short coat
deck,at location,on boat
someone,capable of,knit
sailor,at location,at sea
ballpoint pen,used for,write on paper
store,at location,at mall
pass sentence,used for,judge
someone,capable of,fart
tongue,at location,in your mouth
go to movie theater,motivated by goal,go see film
manila folder,used for,store document
go on stage,used for,actor
cup,at location,in cupboard
magnet,at location,on fridge
go for run,motivated by goal,exercise
driver,at location,in bus
person,not desires,suffer
wait in line,causes,feel bad
turkey,is a,bird
golgi apparatu,part of,animal cell
person,not desires,fear
earth,defined as,third planet from sun
bum,at location,under bridge
someone,at location,in office
chair,at location,at movie
bus,is a,vehicle
lip,used for,modulate speech
desk,at location,in classroom
chair,is a,physical object
alley,has property,narrow
buy ticket to event,motivated by goal,go to sport event
aisle,used for,walk down
basket,is a,container
listen to joke,motivated by goal,laugh at joke
buy hamburger,motivated by goal,eat hamburger
toy soldier,used for,play
go to bus stop,motivated by goal,take bus
person,not desires,feel ill
read book,motivated by goal,learn about subject
performer,at location,at concert
placard,at location,at demonstration
person,not desires,lose money
student,at location,in classroom
textbook,at location,in class
something,capable of,read book
someone,capable of,play piano
someone,capable of,type
person,at location,at airport
something,capable of,jog
water,at location,at beach
vat,is a,large tub that hold liquid
key,used for,unlock door
studio 3b,part of,ge build
preacher,at location,in church
go to hairdresser,motivated by goal,go to get haircut
train,motivated by goal,run in marathon
professor,at location,at bob jones university
person,not desires,be ugly
school,used for,teach
sad person,at location,at funeral
fruit,has property,delicious
bathroom,at location,at rest area
child,at location,in backseat of car
stay fit,motivated by goal,live long
centriole,part of,animal cell
number,used for,count
musical instrument,used for,play music
cake,at location,at wed
go to store,motivated by goal,buy shirt
pony,is a,small horse
food,at location,at dinner
plasma membrane,part of,animal cell
someone,capable of,ski
rope,at location,at gym
fish,at location,in aquarium
computer,at location,at internet cafe
buy ticket,motivated by goal,go to sport event
silicone,used for,breast implant
river,at location,under bridge
someone,capable of,fall
deer,at location,in forest
strike match,motivated by goal,light fire
someone,capable of,smoke
tornado,has property,dangerous
suitcase,at location,at airport
hairdressing salon,used for,cut hair
listen to music,has first subevent,get comfortable
discothque,used for,dance
person,not desires,be mug
paper,used for,write
something,at location,in jar
train,at location,on subway
moon,at location,in orbit
take care of proposal,motivated by goal,it your job
news,at location,on television
write story,motivated by goal,express information
someone,capable of,kill
racist,at location,at bob jones university
planet,at location,in orbit
banjo,used for,play music
take final,motivated by goal,good grade
luggage,at location,at airport
bible,at location,in church
score homer,motivated by goal,win game
make do list,motivated by goal,run errand
kitten,is a,baby cat
vacuum clean,used for,clean carpet
drill,used for,make hole
pump,used for,inflate tire
run in marathon,motivated by goal,like to run
statement,used for,manage information help answer question do we need computer
fire,has property,very hot
person,not desires,hardship
blow dry,used for,dry hair
sing,at location,at opera
grass,at location,in meadow
chess piece,used for,play chess
go to restaurant,motivated by goal,eat
schedule,at location,at train station
woman,has property,female
door,at location,at apartment
turnstile,used for,regulate entry
get in line,motivated by goal,stand in queue
something,capable of,rust
statement your car,used for,get place help answer question do you drive for
passenger,at location,in bus
boss,at location,at work
hamburger,at location,at fast-food restaurant
not,defined as,contraction of not
fan,at location,at concert
apple,is a,edible fruit
couch,used for,sit
towel,at location,on beach
someone,at location,in car
person,not desires,disease
chair,at location,at desk
short test,is a,quiz
daisy,at location,in meadow
locker,at location,at school
blackboard,at location,in class
go to museum,motivated by goal,see artifact
heat element,at location,in oven
menu,at location,in restaurant
popcorn,at location,at movie
buy hamburger,motivated by goal,be hungry
invite friend,motivated by goal,have party
snow,has property,cold
student,at location,at university
buy ticket,motivated by goal,go to concert
life jacket,at location,in boat
person,desires,fall in love
curl iron,used for,curl hair
nurse,at location,at doctor
crater,at location,on moon
oboe,used for,play music
person,not desires,enemy
textbook,at location,in classroom
grass,at location,at park
study hard,motivated by goal,pass your university exam
animal,at location,in forest
wait at bus stop,motivated by goal,take bus
food,at location,in fridge
cider,made of,apple
teacher,at location,in classroom
ship,at location,on sea
sheet,at location,in bed
buy ticket,motivated by goal,go to play
sprinkler,at location,on lawn
lcd monitor,has property,flat
eat in fast food restaurant,has first subevent,order food
television studio,part of,build
nucleolu,part of,animal cell
steer wheel,at location,in boat
sock,at location,in drawer
traffic light,at location,at corner of two street
room,at location,in build
plate,at location,on table
use computer,has prequisite,turn computer on
wake up in morning,has first subevent,open your eye
jehovah witness,at location,at front door
stove,used for,heat food
bowl ball,at location,at bowl alley
bread,used for,make sandwich
statement triangle,used for,make noise in orchestral perscussion help answer question make noise in orchestra
altar,at location,at church
shop,at location,at mall
computer,at location,at mit media lab
something,at location,under water
go to barber,motivated by goal,go for haircut
have bath,causes,clean yourself
cell nucleus,part of,animal cell
tank,is a,weapon of war
person,not desires,amputation
television,at location,at home
have shower,has first subevent,get undress
watch movie,motivated by goal,be bore
art critic,at location,at art show
someone,capable of,fiddle
woman,is a,female human
something,at location,drawer
someone,capable of,pray
priest,at location,in church
skyscraper,is a,tall build
someone,capable of,play baseball
tornado,has property,very dangerous
endoplasmic reticulum,part of,animal cell
criminal,at location,in jail
carpet,at location,on floor
apple,at location,hang from tree
start flame or fire,motivated by goal,be cold
kitchen,at location,at home
preacher,at location,at church
something,capable of,make noise
someone,at location,at movie
go to bathroom,motivated by goal,have pee
stewardess,at location,in plane
stop your car,motivated by goal,get out
busdriver,at location,in bus
person,desires,dream
person,desires,challenge
swing,at location,at park
eat in morning,motivated by goal,eat breakfast
bed,at location,at hotel
go to museum,motivated by goal,see old thing
garage,used for,store car
television studio,part of,france 2 build
something,at location,location
someone,at location,in bus
person,not desires,jump out of window
bowl pin,at location,at bowl alley
bbq,used for,cook food
corkscrew,used for,open wine bottle
x-ray machine,at location,at airport
person,not desires,be bother
say you,motivated by goal,thank someone
person,not desires,be kill
net,used for,catch thing
plate,at location,in cupboard
person,not desires,hurt other person
sail,at location,in boat
fix computer,motivated by goal,it be break
person,not desires,loose money
make appointment with doctor,motivated by goal,have checkup
stapler,at location,in office
something,capable of,crack
something,capable of,play sport
drive car,motivated by goal,go to store
wild flower,at location,in meadow
cytoplasm,part of,animal cell
person,desires,happy life
ribbon,used for,decoration
metal detector,at location,at airport
clothe,at location,in trunk
someone,capable of,read newspaper
take break,motivated by goal,be tire
chicken,is a,farm animal
bench,at location,at park
yolk,part of,egg
floor,part of,build
road,used for,drive on
do some exercise,motivated by goal,lose weight
sailor,at location,in boat
person,desires,lot of money
person,not desires,be beat
mitochondrion,part of,animal cell
secretary,at location,at work
dice,used for,play game
go to theatre,motivated by goal,go see play
boat,used for,fun
index card cabinet,used for,store index card
plate,at location,at dinner
otter,is a,playful aquatic mammal
glove compartment,at location,in car
fern,at location,in forest
person,at location,in boat
something,at location,in garden
something,at location,in car
someone,capable of,jog
ear,used for,listen
reach impasse,motivated by goal,cannot agree
take break,has first subevent,stop work
person,not desires,hate
weight machine,at location,at gym
sleigh ride,motivated by goal,it fun
radio studio,part of,office build
go to doctor,motivated by goal,have physical examination
shingle,at location,on roof
outboard motor,at location,in boat
library,at location,at university
child,at location,at park
have examination,has prequisite,study
someone,at location,in submarine
buy ticket,motivated by goal,go to film
go to bar,motivated by goal,hang out at bar
open window,motivated by goal,breathe some fresh air
dollar,is a,form of money
fire hydrant,at location,on street
editorial,at location,in newspaper
earth,is a,sphere
picnic table,at location,at rest area
earth,defined as,third planet in solar system
go to tennis court,motivated by goal,play tennis
bird,at location,in air
eat dinner,motivated by goal,be hungry
cookie,has property,usually sweet
pet,at location,at home
someone,at location,in morgue
lip,used for,kiss
paper,at location,at office
aeroplane,at location,at airport
something,at location,in closet
something,at location,on shelf
someone,capable of,dream
lion,is a,cat
bodybuilder,at location,at gym
toy,at location,at toy store
buy ticket,motivated by goal,go see play
someone,at location,at store
artifact,at location,at museum
someone,capable of,watch movie
remember something,motivated by goal,it be important
ferris wheel,at location,at fairground
pickle,at location,in jar
drawer,used for,storage
go to concert,motivated by goal,see band
language,used for,communicate
go to store,used for,buy item
go to store,motivated by goal,buy something
someone,at location,home
canoe,used for,travel on water
sleep person,at location,in bed
chesspiece,used for,play chess
castro,part of,san francisco
go to swim pool,motivated by goal,go for swim
something,at location,in cabinet
clothe,at location,at shop
something,capable of,read
driver seat,at location,in car
window,has property,transparent
someone,capable of,study
letter,at location,in mail box
your clothe,at location,at home
turn radio on,motivated by goal,listen to radio
bedroom,at location,at home
woodwind instrument,used for,make music
pupil,at location,at school
shark,at location,in ocean
clock,is a,device for measure time
orchestra,at location,at opera
exercise,has prequisite,stretch
mop,used for,clean floor
student,at location,in class
